video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at,search_term,city
/watch?v=LBWUgluGdTw&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@offofficial,offofficial,"OFF! - ""War Above Los Angeles"" (Official Video)",243K,1 year,"Written & Directed by Dimitri Coats OFF! - ""War Above Los Angeles"" (Music Video): Producer - Kurt Kittleson Director of ...",2024-01-29 03:47:35.128547,rock band,Los Angeles
/watch?v=X4UkilG4JZE&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@SpectrosRockHero,Spectro's Rock Hero,"X - Los Angeles - Rock Band 2 DLC Expert Full Band (March 23rd, 2010)",1.6K,6 years,"Expert Full Band Chart of the song ""Los Angeles"" from the band ""X"", album ""Los Angeles"" on the game Rock Band 4, it was ...",2024-01-29 03:47:35.131272,rock band,Los Angeles
/watch?v=BxoD9zWY9Rg&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@epitaph,Epitaph Records,Bad Religion - Los Angeles Is Burning,6.6M,16 years,Distributed by WMG Los Angeles Is Burning http://www.badreligion.com/ http://www.facebook.com/badreligion ...,2024-01-29 03:47:35.134004,rock band,Los Angeles
/watch?v=5uF0kUP1Ldc&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@fat_possum,Fat Possum Records,X - Los Angeles (Official Album Stream),70K,1 year,Official album stream of X's album Los Angeles Stream/buy here: https://x.ffm.to/losangegles-2019remaster 0:00 Your Phone's Off ...,2024-01-29 03:47:35.137687,rock band,Los Angeles
/watch?v=tv8Bj7tZQsk&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@CalHumanities,California Humanities,Chicano Rock! The Sounds of East Los Angeles,33K,11 years,"For some, Chicano Rock 'n' Roll is synonymous with Ritchie Valens, a teenager from the San Fernando Valley who became a ...",2024-01-29 03:47:35.140341,rock band,Los Angeles
/watch?v=G5q1KRxMgVA&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@thepunkrockreview,The PUNK ROCK REVIEW,"STILL PIST! - LA Street Punks Talk Music, Touring, and More!",180,2 days,"On this episode I hang out with LA's STILL PIST! and talk their 2024 goals, touring, what music we like, and more! #stillpist ...",2024-01-29 03:47:35.143140,rock band,Los Angeles
/watch?v=Exs-mcKApxI&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@Videano,poopycompo,X - Los Angeles,392K,12 years,"X's debut, Los Angeles, is considered by many to be one of punk's all-time finest recordings, and with good reason. Most punk ...",2024-01-29 03:47:35.145669,rock band,Los Angeles
/watch?v=97Y7sBVWkl0&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/@RazorcakeGorsky,RazorcakeGorsky,"Eastside Punks, Episode 2: The Brat",21K,3 years,"The Brat In our second installment of Eastside Punks, we focus on East L.A. legends The Brat. Formed in the late 1970s, vocalist ...",2024-01-29 03:47:35.148180,rock band,Los Angeles
/watch?v=wvkzoqQ5Oak&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/channel/UCG2Any5yo0Lgiwf3o_GiF-A,Los Lonely Boys,Los Lonely Boys - Heaven (Video Version),50M,14 years,"--------- Lyrics: Vamanos! Save me from this prison Lord, help me get away 'Cause only you can save me now from this misery I've ...",2024-01-29 03:47:35.151090,rock band,Los Angeles
/watch?v=IR2QmRJNS4w&pp=ygUVcm9jayBiYW5kIExvcyBBbmdlbGVz,/channel/UCq2g_Vcu3J1OwNRmdTNoxYA,Mötley Crüe,Mötley Crüe - Saints of Los Angeles (Official Music Video),5.3M,4 years,Watch 'The Dirt' on Netflix! Follow Mötley Crüe: Instagram: https://www.instagram.com/motleycrue/ Facebook: ...,2024-01-29 03:47:35.154097,rock band,Los Angeles
