video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at,search_term,city
/watch?v=6RGZ74g6CrY&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@wwozneworleans,wwozneworleans,New Orleans Jazz Vipers - Full Set,211K,2 years,"Recorded by WWOZ at the New Orleans Jazz & Heritage Center on December 4, 2021. 0:06 YACHT CLUB SWING (from the ...",2024-01-29 03:06:27.477345,jazz band,New Orleans
/watch?v=alzPbV61sOM&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@PreservationHallFoundation,Preservation Hall Foundation,New Orleans Jazz Funeral Demonstration I,113K,1 year,"Anthony Bennett (Grand Marshal), Oswald Jones (Grand Marshal), Mark Braud (trumpet), Clive Wilson (trumpet), Charlie Gabriel ...",2024-01-29 03:06:27.480387,jazz band,New Orleans
/watch?v=GaKkoqDa8Ng&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@JamintheVan,Jam In The Van,"REBIRTH BRASS BAND - ""Do Whatcha Wanna"" (Live in New Orleans) #JAMINTHEVAN",331K,9 years,"Rebirth Brass Band - ""Do Whatcha Wanna"" Live in New Orleans with Jam in the Van. Subscribe on SoundSurf for weekly live ...",2024-01-29 03:06:27.483209,jazz band,New Orleans
/watch?v=hBd0FdBt0jk&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/channel/UCELopa4f6VemQvb-lhwfiuQ,Preservation Hall Jazz Band,"Preservation Hall Jazz Band & The Del McCoury Band ""I'll Fly Away"" on Letterman",316K,12 years,"Preservation Hall Jazz Band & The Del McCoury Band perform ""I'll Fly Away"" on Letterman. From their album American Legacies: ...",2024-01-29 03:06:35.530317,jazz band,New Orleans
/watch?v=CZ6NHEzHIrg&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@UniversalAudio,Universal Audio,Preservation Hall Jazz Band: Recorded Live in New Orleans,69K,5 years,"“When I discovered Apollo interfaces, it changed my life.” - Che Pope After contributing to the music industry for nearly 25 years ...",2024-01-29 03:06:35.535287,jazz band,New Orleans
/watch?v=OwuNbmwTUio&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@mrtacoustic,Mr. T.,"WOW, just Wow! Bourbon Street Jazz Band in New Orleans",116K,5 years,The best Street Jazz Band of New Orleans (Bourbon Street). Enjoy it.. The Very Best New Orleans Jazz on Amazon ...,2024-01-29 03:06:35.539106,jazz band,New Orleans
/watch?v=I4KAKqF4mjE&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@lewisluongrelaxation,LewisLuong Relaxation Cafe,Jazz and Big Band: 2 Hours of Big Band Music and Big Band Jazz Music Video Collection,2.4M,9 years,"For every song you buy from David's music site (www.reverbnation.com/lewisluong), he will donate 50% of the net proceeds to the ...",2024-01-29 03:06:35.543838,jazz band,New Orleans
/watch?v=vntkGnpDphQ&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@AvalonJazzBandnyc,Tatiana Eva-Marie & Avalon Jazz Band,Moon Over New Orleans - Avalon Jazz Band,412K,3 years,Here's an original song composed by @TatianaEvaMarieMusic as a love declaration to New Orleans. Vocals - Tatiana Eva-Marie ...,2024-01-29 03:06:35.547044,jazz band,New Orleans
/watch?v=lzArTsWpOoE&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@kjones60625,Ken Jones,New Orleans Dixieland on Street,3.7M,11 years,Fun group that was really listening to each other and blending. I may need to buy a kazoo and toilet paper roll. Updated March ...,2024-01-29 03:06:35.552060,jazz band,New Orleans
/watch?v=msvOqvBJLBw&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@jbdmed,Brad Douglas,"Smoking Time Jazz Club 'Charleston"" & Dancers",3.7M,13 years,"new Orleans, street jazz, swing dance... watch to the end for links to similar videos.",2024-01-29 03:06:35.556344,jazz band,New Orleans
/watch?v=dfuHwPtVQOc&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@beaupatrick77,Beau Patrick Coulon,"Smoking Time Jazz Club - ""Percolatin' Blues""",7.9M,12 years,Shot and edited by Beau Patrick Coulon Camera assistance by Nyssa Lyon Special thanks to Colby Guillory and Aaron Dunsay ...,2024-01-29 03:06:35.559656,jazz band,New Orleans
/watch?v=5SS9EnD_-_Y&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@JazzAcademy,Jazz at Lincoln Center's JAZZ ACADEMY,Exploring New Orleans Jazz,430K,8 years,Vincent Gardner leads you through the history and development of New Orleans Jazz as the band demonstrates the rhythms and ...,2024-01-29 03:06:35.562674,jazz band,New Orleans
/watch?v=fQExZiQnHsw&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/channel/UCELopa4f6VemQvb-lhwfiuQ,Preservation Hall Jazz Band,"Preservation Hall Jazz Band ""El Manicero"" Feat. Ernan Lopez Nussa",281K,8 years,"We reunite with our good friend and wonderful Cuban pianist Ernan Nussa next week in Havana! Check out a clip of ""El Manicero"" ...",2024-01-29 03:06:35.566759,jazz band,New Orleans
/watch?v=rKyRub0590U&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@vacksbook,vacksbook,"Preservation Hall Jazz Band, New Orleans, Vol. 2",1K,1 year,"Preservation Hall Jazz Band, New Orleans, Vol. 2 SIDE 1 1. SHAKE IT AND BREAK IT. 4:46 2. JUST A LITTLE WHILE TO STAY ...",2024-01-29 03:06:35.569975,jazz band,New Orleans
/watch?v=zU9JR1zlFfE&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@RelaxMusicRecords,Relax Music,Relax Music - New Orleans Dreams - Smooth Jazz Trumpet Lounge Music,348K,2 years,"Our Jazz Instrumental Music can be used for relaxing, calm, romantic dinner, cooking, work, and relaxation. This relaxing Jazz ...",2024-01-29 03:06:35.575930,jazz band,New Orleans
/watch?v=_ZdMxFiUf9Q&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@TheWsm0,TheWsm,Tuba Skinny - Jubilee Stomp - Royal Street II,7.4M,5 years,Recorded in New Orleans Shaye Cohn - Cornet Erika Lewis - Drum/Vocals Todd Burdick- Tuba/Sousaphone Robin Rapuzzi ...,2024-01-29 03:06:35.581278,jazz band,New Orleans
/watch?v=dpaPX04ypPk&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@wwozneworleans,wwozneworleans,Shake 'Em Up Jazz Band - Full Set,50K,2 years,"Recorded by WWOZ at the New Orleans Jazz & Heritage Center on November 6, 2021.",2024-01-29 03:06:35.584872,jazz band,New Orleans
/watch?v=qoPxTShCUCE&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@kexp,KEXP,Preservation Hall Jazz Band - Full Performance (Live on KEXP),96K,3 years,Songs: Convergence Malecón Keep Your Head Up Sugar Plum Host: Troy Nelson Audio Engineers: Kevin Suggs & Craig Walker ...,2024-01-29 03:06:43.369389,jazz band,New Orleans
/watch?v=B9GCfW0JhoY&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@NOLAJazzMuseum,NOLA Jazz Museum,Secret Six Jazz Band presents the 100th Year Anniversary of King,20K,Streamed 9 months,Live from the New Orleans Jazz Museum.,2024-01-29 03:06:43.371787,jazz band,New Orleans
/watch?v=bBINhDYXoEg&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@digitalalexa,digitalalexa,"Tuba Skinny - ""Going Back Home"" - Royal St.   -* Tip the band at Venmo.com. More at Digitalalexa",11M,11 years,"Tuba Skinny plays ""Going Back Home"" on Royal St. -4/16/12 Erika Lewis - vocals Todd Burdick- Tuba Shaye Cohn - Cornet ...",2024-01-29 03:06:43.373926,jazz band,New Orleans
/watch?v=XiMYqDD9kXw&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/channel/UCcu7ANuD9J7hnTQCREqIc4Q,Bruce Springsteen,"Pay Me My Money Down (Live at the New Orleans Jazz & Heritage Festival, 2006)",23M,4 years,"Lyrics: I thought I heard the Captain say, Pay me my money down, Tomorrow is our sailing day, Pay me my money down Oh pay ...",2024-01-29 03:06:43.375570,jazz band,New Orleans
/watch?v=HXr3nrd33U0&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@nprmusic,NPR Music,Dirty Dozen Brass Band: NPR Music Tiny Desk Concert,1.6M,6 years,"Around this time of year, when Mardi Gras revelry is fueled by New Orleans jazz, it was so good to feel their sounds in the office.",2024-01-29 03:06:43.377433,jazz band,New Orleans
/watch?v=pRJgi7vSxkM&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@JazzAndHeritage,New Orleans Jazz & Heritage Foundation,Jazz & Heritage Fall Concert Series: Shake Em Up Jazz Band,19K,Streamed 2 years,We're kicking off the New Orleans Jazz & Heritage Foundation's Fall Concert Series with the Shake Em Up Jazz Band.,2024-01-29 03:06:43.379025,jazz band,New Orleans
/watch?v=4vPN38j8Zso&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@digitalalexa,digitalalexa,"Tuba Skinny - ""Yes Sir That's My Baby ""  * Tip the band at Venmo.com. More at Digitalalexa channel",4.4M,11 years,"Tuba Skinny on Royal Street, New Olreans 4/9/2012 Erika Lewis - vocals Todd Burdick- Tuba Shaye Cohn - Cornet Barnabus ...",2024-01-29 03:06:43.381300,jazz band,New Orleans
/watch?v=RVk_hawxiHQ&pp=ygUVamF6eiBiYW5kIE5ldyBPcmxlYW5z,/@lordbonington,Jeff Williams,New Orleans Funeral Jazz Band,3.1K,7 years,New Orleans Funeral Jazz Band for hire. Available Countrywide. West Indian Funerals a speciality. A professional service from a ...,2024-01-29 03:06:43.385024,jazz band,New Orleans
